Sample,X,Y,Z,Protolith,Weathering,SiO2,Al2O3,Fe2O3,MgO,CaO,TiO2,P2O5,BaO,C
CMA-BAR-DH-0149 0 a 9,1027.7087,887.3406,1005.86,BEB/CC,MT,10.86,1.28,24.65,3.43,25.27,3.61,17.86,0.85,0.55
CMA-BAR-DH-041  81.30 a 91.15,2149.98,1599.93,1056.46,BEB/CC,MT,33.29,5.9,23.27,4.06,8.6,6.04,6.81,0.76,0.1
CP10-0036 6.90 a 21.65,1699.99,2150.22,1070,BEB/CC,MT,13.48,2.12,28.98,4.57,16.91,7.68,13.16,1.55,0.28
CP10-0080 12.50 a 25.60,1800.06,1949.92,1050.64,BEB/CC,MT,18.12,1.6,27.67,6.64,18.3,4.76,13.38,0.29,0.3
CP10-0091 25.30 a 38.70,1852.54,1299.75,997.84,BEB/CC,MT,23.15,4.86,25.57,4.54,8.64,8.26,7.34,2.01,0.13
CP10-0097 31.60 a 43.90,1849.02,1602.02,995.72,BEB/CC,MT,14.23,1.94,28.54,1.82,18.24,5.42,14.8,1.89,0.27
MB18 14.26 a 24.26,1000,1300,995,BEB/CC,MT,21.89,3.01,24.69,11.37,11.97,3.31,9.42,1.88,0.24
MB63 68.40 a 83.40,1350,1300,1005,BEB/CC,MT,30.78,3.16,22.75,7.39,11.95,6.85,8.41,0.38,0.17
MB72 35.30 a 50.30,1750,1650,997.8,BEB/CC,MT,24.95,2.08,26.55,10.89,11.09,7.78,7.37,0.15,0.18
SR09-054 95.70 a 107.10,2146.31,1348.89,1047.05,BEB/CC,MT,44.39,2.75,16.33,4.8,11.1,6,8.49,0.28,0.24
SR09-055 95.85 a 106.25,2041.89,1251.46,1019.11,BEB/CC,MT,39.24,3.12,17.21,2.71,12.67,9.11,8.89,0.81,0.18
SR09-063  44.00 a 55.40,1783.97,2073.56,1056.54,BEB/CC,MT,28.3,2.11,22.97,4.79,14.09,7.29,10.84,1.71,0.21
CMA-BAR-DH-0155  0 a 8.4,1064.0153,1085.9607,1003.15,BEB/CC,MB,11.75,1.26,20.25,3.29,23.67,1.9,16.9,4.65,0.66
CMA-BAR-DH-0156  7.1 a 13.75,1273.3195,1097.4792,991.88,BEB/CC,MB,19.07,4.3,22.13,8.84,13.43,4.83,9.8,2.87,0.21
CMA-BAR-DH-0156 13.75 a 23.85,1273.3195,1097.4792,983.51,BEB/CC,MB,24.74,3.09,14.96,8.37,20.07,2.81,14.47,0.88,0.29
CP09-0069 29.00 a 39.00,1874.95,1674.94,1010.5,BEB/CC,MB,23.88,3.6,21.46,8.01,14.15,6.3,10.47,0.42,0.25
CP10-0042  51.55 a 67.50,1725.01,2074.96,1025.86,BEB/CC,MB,8.31,0.99,27.17,5.82,15.8,2.9,11.17,11.11,0.75
CP10-0042 41.55 a 51.55,1725.01,2074.96,1038.84,BEB/CC,MB,22.38,2.41,24.53,14.87,7.51,3.86,5.83,7.12,0.14
CP10-0091 38.70 a 49.05,1852.54,1299.75,985.96,BEB/CC,MB,25.69,5.38,20.43,8.24,5.68,4.88,5.02,6,0.16
