X,Y,Z,thickness,cal_val,ash,sulphur
9500,12600,605.9,1.84,22.26,19.29,0.83
9650,12600,605.1,1.73,21.36,19.97,0.78
9950,12600,601.5,1.65,22.34,19.09,1.03
10100,12600,601.5,2.22,22.19,21.96,1.11
10250,12600,601.3,2.54,22.43,18.55,1.03
10550,12600,602.6,2.65,24.07,17.63,1.24
10850,12600,603.2,2.84,22.11,18.65,0.86
9500,12750,604.7,2.18,20.9,20.59,0.99
9650,12750,604.5,2.08,21.7,20.49,0.89
9800,12750,604.5,1.47,20.83,20.74,1.07
10100,12750,601.7,2.17,23.19,18.65,1.12
10400,12750,601.1,3.1,24.34,17.53,1.29
10550,12750,601.6,3.11,25.55,14.6,1.15
10700,12750,599.5,3.29,25.23,16.47,0.93
10850,12750,600.1,3.26,23.48,19.29,0.99
11000,12750,599.2,2.95,24.23,16.11,1.02
9500,12900,606.1,1.94,21.84,20.66,1.1
9650,12900,605.4,2.29,20.58,21.23,0.98
9800,12900,604,1.71,21.35,21.81,0.97
9950,12900,602.5,2.13,24.02,17.68,0.83
10100,12900,601.4,2.35,23.53,18.24,0.93
10250,12900,599.7,3.07,23.36,16.96,1
10400,12900,599.7,2.8,24.53,16.73,0.71
10550,12900,600.8,3.1,24.67,17.53,0.93
10700,12900,598.9,3.26,25.19,15.84,1.12
11000,12900,598.7,2.9,24.43,16.86,0.95
9500,13050,605.8,2.23,21.36,20.4,1.15
9650,13050,605.8,1.94,20.78,21.08,0.75
9800,13050,604.1,1.94,21.73,20.48,0.95
9950,13050,602.7,2.42,23.28,17.51,1.11
10100,13050,599,2.71,24.56,17.18,1.14
10250,13050,599.4,2.71,25.5,16.14,1.21
10400,13050,598.4,2.99,24.89,16.5,1.14
10550,13050,597.9,2.85,23.19,18.57,0.78
10700,13050,598.1,2.83,24.48,17.75,1.14
10850,13050,598,3.08,25.19,18.1,1.21
9500,13200,606.6,2.11,23.43,19.91,1.04
9650,13200,606.3,1.74,22.68,20.16,0.77
9800,13200,603.9,2.18,24.04,17.24,1
10100,13200,600.2,2.82,24.57,15.8,0.91
10250,13200,599.2,2.75,26.29,14.85,1.09
10400,13200,597,2.74,26.85,14,1.01
10550,13200,598.9,2.87,25.64,15.46,0.97
10700,13200,601.3,2.63,26.03,14.58,1.04
10850,13200,600,2.31,26.62,16.65,1.04
11000,13200,600.3,2.46,25.8,13.04,1.07
9800,13350,603.6,2.11,24.91,17.71,1.21
9950,13350,602.3,2.37,24.94,16.14,0.84
10250,13350,600.4,2.55,27.31,14.82,1.3
10400,13350,599.8,3.01,28.72,11.6,1.22
10550,13350,600.9,2.76,26.55,14.97,0.97
10700,13350,601.3,2.14,28.22,12.06,1.4
10850,13350,600.6,1.85,27.05,12.69,1.17
11000,13350,600.4,1.97,25.97,16.19,0.96
9500,13500,608.2,2.34,21.47,19.89,0.82
9650,13500,606.8,2.42,23.07,19.02,1.09
9800,13500,604.5,2.2,23.76,18.41,1
9950,13500,603.1,2.3,26.8,14.28,1.16
10250,13500,601.5,2.45,28.98,12.51,1.27
10400,13500,602.9,2.43,29.55,11.38,1.28
10550,13500,603,2.68,29.56,12.03,1.11
10850,13500,603,1.58,28.38,13.05,1.25
9500,13650,608.8,2.13,20.97,21.93,0.87
9650,13650,608.1,2.17,23.41,17.99,0.88
10100,13650,606.1,2,25.61,16.79,1.1
10250,13650,605.4,2.17,29.3,12.59,1.4
10400,13650,605.3,1.95,30.46,11.92,1.37
10550,13650,604.8,2.12,28.27,10.91,0.99
10700,13650,605.9,1.53,28.41,12.12,1.21
11000,13650,603.7,2.01,27.15,13.79,1.25
9500,13800,611,1.96,21.13,20.92,1.06
9650,13800,610.1,2.26,22.67,18.73,0.85
9800,13800,608.3,2.03,21.86,18.78,0.98
10100,13800,606.9,2.14,25.62,13.93,1.05
10250,13800,607,2.09,26.6,15.24,1.26
10400,13800,607.1,2.14,28.98,12.42,1.1
10550,13800,606.7,2.16,28.75,11.67,1.13
10700,13800,607.6,1.98,27.17,13.65,1.24
11000,13800,606.8,2.11,26.59,15.62,1.03
9500,13950,614.3,2.17,19.92,23.02,0.93
9650,13950,614.2,1.71,21.19,22.15,1.09
9950,13950,607.9,1.89,23.54,17.34,0.86
10250,13950,608.3,2.11,24.82,18.99,1.35
10400,13950,608.2,2.21,26.11,14.2,0.84
10700,13950,608.4,2.04,25.39,17.49,1.22
10850,13950,607.8,1.73,26.62,13.05,1.05
11000,13950,605.3,1.66,25.75,16.1,1.34
9500,14100,615.5,1.83,20.45,21.53,0.77
9800,14100,612.2,1.54,22.8,19.73,0.96
9950,14100,611.6,1.3,23.85,17.36,1.02
10100,14100,609.2,1.89,24.58,18.17,0.87
10250,14100,610,2.13,24.25,17.23,0.92
10400,14100,609.8,2.36,24.71,16.5,1.09
10700,14100,608.6,1.94,24.29,18.16,1.09
10850,14100,606.8,1.75,25.24,16.37,1.11
11000,14100,606.9,1.69,25.57,14.63,1.03
