Collar,Easting,Northing,Elevation,Thickness,Au_ppm,Ag_ppm,Cu,Zn,Rock
67,800,20341.5,-36,0.34,2.16,6.17,2.82,2.24,20
68,800,20344,-66,5.04,2.88,9.94,7.39,2.38,20
69,800,20303,-47,0.29,0,2.4,0.22,0,20
71,800,20305,-96,0.45,0.62,4.11,0.7,0.04,20
72,800,20260,-100,1.19,1.65,6.86,2.57,0.19,20
73,800,20200,-62.5,1.74,2.47,13.37,2.47,0.48,20
74,800,20206,-91,18.86,0.75,5.49,2.76,0.83,20
75,800,20201.5,-110,3.68,2.81,18.51,6.19,1.88,20
76,800,20253,-65,15.71,1.54,12,6.14,1.08,20
76,800,20152,-115,0,0,0,0,0,20
77,800,20143.5,-220,2.34,1.27,3.7,2.63,0.46,20
78,800,20200.5,-160,1.56,3.29,16.8,6.87,1.89,20
79,800,20255,-169,5.71,3.94,9.26,6.04,0.41,20
80,800,20302.5,-158.5,1.5,0.99,21.26,4.4,1.04,20
81,800,20353,-138.5,1.64,1.1,18.51,2.78,1.27,20
82,800,20402,-132,0.16,0.17,40.46,2.17,0.27,20
83,800,20258,-336,1.01,0.07,4.11,2.04,0.17,21
85,800,20163.5,-316,5.07,2.09,7.54,8.32,1.11,21
86,800,20115,-353,0.76,0.03,0.34,0.04,0.02,21
87,800,20260,-215,7.4,2.5,3.43,6.96,0.34,20
88,800,20315,-243,0.83,0.21,1.71,1.21,0.07,20
89,800,20354.5,-218,12.83,3.09,27.77,9.13,0.86,20
90,800,20203.5,-211,2.58,1.3,17.83,4.23,0.6,20
92,800,20375,-28,0.35,0.07,1.37,0.45,0.35,20
94,800,20178,-361,4.31,2.09,7.54,5.51,0.62,21
95,800,20307.5,-309,1.64,0.1,3.43,0.14,0.01,21
96,800,20180,-547,0.36,0.38,0.69,0.04,0.01,21
97,800,20253,-499,1.62,0.41,7.2,7.82,0.18,21
98,800,20238,-462,0.34,4.25,19.2,12.46,0.5,21
102,800,20332,-455,0,0,0,0,0,21
103,800,20262,-443,0.42,2.02,51.77,12.64,3.65,21
108,800,20245.5,-28.5,1.21,0.03,1.93,0.02,0.02,20
109,800,20225.7,-46.5,0.73,1.7,11.84,2.09,0.76,20
110,800,20332.5,-128.5,2.69,2.66,28.64,5.08,4.08,20
111,800,20277,-159,11.88,0.86,11.38,4.84,0.64,20
112,800,20229.5,-128,6.23,3.22,9.96,6.06,1.38,20
113,800,20185,-140.5,5.89,2.74,30.45,6.63,1.67,20
114,800,20375.5,-204,0,0,0,0,0,20
115,800,20337,-192,1.43,0,0,0.1,0,20
116,800,20284.5,-193,12.52,1.97,10.32,4.83,0.52,20
117,800,20216.5,-228.5,7.82,2.48,6.28,4.49,0.2,20
118,800,20165,-251,5.9,1.22,6.15,5.01,0.86,20
119,800,20189.5,-304,0.38,1.25,10.29,3.12,0.23,21
120,800,20339.5,-239,8.4,0.32,6.19,1.66,0.05,20
121,800,20138,-388,0,0,0,0,0,21
123,800,20191,-375,0.67,0,0,0.7,0,21
125,800,20374.5,-83,0.3,0,0,0.3,0,20
126,800,20385,-274,0,0,0,0,0,20
127,800,20285,-354,0,0,0,0,0,21
128,800,20273,-406,0.27,0,0,10,0,21
129,800,20181,-491,0.13,0,0,6.7,0,21
132,800,20250,-232,7.86,2.94,4.35,4.29,0.21,20
133,800,20175.5,-158.5,1.71,4.45,27.29,6.72,1.01,20
134,800,20281.5,-236.5,1.39,0.08,2.42,0.33,5.48,20
135,800,20196,-193,2.61,1.78,6.68,4.83,1.45,20
136,800,20226.7,-157.5,1.93,3.51,5.69,4.85,0.6,20
137,800,20234.5,-183.5,3.53,3.04,7.86,4.43,0.57,20
140,800,20214,-362,1.07,0,0,0.7,2.6,21
140,800,20212.5,-277,6.21,4.08,6.86,7.55,0.29,20
141,800,20368,-316,0.53,0.03,1.18,0.62,0.05,21
107,800,20245,-568,0.48,0.58,5.83,5.42,0.57,21
133,800,20176,-163,5.01,2.38,16.76,5.31,1.02,20
134,800,20281,-235,1.06,0.29,2.67,1.39,4.06,20
136,800,20227,-157,1.96,1.35,2.06,1.11,0.18,20
137,800,20235,-183,4.03,2.53,7.37,4.75,0.64,20
139,800,20235,-305,1.73,1.32,3.62,2.61,0.27,21
