Collar Northing Elevation Thickness Au_ppm Ag_ppm Cu Zn Rock
67 20341.5 -36.00 0.34 2.16 6.17 2.82 2.24 20
68 20344.0 -66.00 5.04 2.88 9.94 7.39 2.38 20
69 20303.0 -47.00 0.29 0.00 2.40 0.22 0.00 20
71 20305.0 -96.00 0.45 0.62 4.11 0.70 0.04 20
72 20260.0 -100.00 1.19 1.65 6.86 2.57 0.19 20
73 20200.0 -62.50 1.74 2.47 13.37 2.47 0.48 20
74 20206.0 -91.00 18.86 0.75 5.49 2.76 0.83 20
75 20201.5 -110.00 3.68 2.81 18.51 6.19 1.88 20
76 20253.0 -65.00 15.71 1.54 12.00 6.14 1.08 20
76 20152.0 -115.00 0.00 0.00 0.00 0.00 0.00 20
77 20143.5 -220.00 2.34 1.27 3.70 2.63 0.46 20
78 20200.5 -160.00 1.56 3.29 16.80 6.87 1.89 20
79 20255.0 -169.00 5.71 3.94 9.26 6.04 0.41 20
80 20302.5 -158.50 1.50 0.99 21.26 4.40 1.04 20
81 20353.0 -138.50 1.64 1.10 18.51 2.78 1.27 20
82 20402.0 -132.00 0.16 0.17 40.46 2.17 0.27 20
83 20258.0 -336.00 1.01 0.07 4.11 2.04 0.17 21
85 20163.5 -316.00 5.07 2.09 7.54 8.32 1.11 21
86 20115.0 -353.00 0.76 0.03 0.34 0.04 0.02 21
87 20260.0 -215.00 7.40 2.50 3.43 6.96 0.34 20
88 20315.0 -243.00 0.83 0.21 1.71 1.21 0.07 20
89 20354.5 -218.00 12.83 3.09 27.77 9.13 0.86 20
90 20203.5 -211.00 2.58 1.30 17.83 4.23 0.60 20
91 20355.6 -392.00 0.00 0.00 0.00 0.00 0.00 21
92 20375.0 -28.00 0.35 0.07 1.37 0.45 0.35 20
94 20178.0 -361.00 4.31 2.09 7.54 5.51 0.62 21
95 20307.5 -309.00 1.64 0.10 3.43 0.14 0.01 21
96 20180.0 -547.00 0.36 0.38 0.69 0.04 0.01 21
97 20253.0 -499.00 1.62 0.41 7.20 7.82 0.18 21
98 20238.0 -462.00 0.34 4.25 19.20 12.46 0.50 21
102 20332.0 -455.00 0.00 0.00 0.00 0.00 0.00 21
103 20262.0 -443.00 0.42 2.02 51.77 12.64 3.65 21
108 20245.5 -28.50 1.21 0.03 1.93 0.02 0.02 20
109 20225.7 -46.50 0.73 1.70 11.84 2.09 0.76 20
110 20332.5 -128.50 2.69 2.66 28.64 5.08 4.08 20
111 20277.0 -159.00 11.88 0.86 11.38 4.84 0.64 20
112 20229.5 -128.00 6.23 3.22 9.96 6.06 1.38 20
113 20185.0 -140.50 5.89 2.74 30.45 6.63 1.67 20
114 20375.5 -204.00 0.00 0.00 0.00 0.00 0.00 20
115 20337.0 -192.00 1.43 0.00 0.00 0.10 0.00 20
116 20284.5 -193.00 12.52 1.97 10.32 4.83 0.52 20
117 20216.5 -228.50 7.82 2.48 6.28 4.49 0.20 20
118 20165.0 -251.00 5.90 1.22 6.15 5.01 0.86 20
119 20189.5 -304.00 0.38 1.25 10.29 3.12 0.23 21
120 20339.5 -239.00 8.40 0.32 6.19 1.66 0.05 20
121 20138.0 -388.00 0.00 0.00 0.00 0.00 0.00 21
123 20191.0 -375.00 0.67 0.00 0.00 0.70 0.00 21
125 20374.5 -83.00 0.30 0.00 0.00 0.30 0.00 20
126 20385.0 -274.00 0.00 0.00 0.00 0.00 0.00 20
127 20285.0 -354.00 0.00 0.00 0.00 0.00 0.00 21
128 20273.0 -406.00 0.27 0.00 0.00 10.00 0.00 21
129 20181.0 -491.00 0.13 0.00 0.00 6.70 0.00 21
132 20250.0 -232.00 7.86 2.94 4.35 4.29 0.21 20
133 20175.5 -158.50 1.71 4.45 27.29 6.72 1.01 20
134 20281.5 -236.50 1.39 0.08 2.42 0.33 5.48 20
135 20196.0 -193.00 2.61 1.78 6.68 4.83 1.45 20
136 20226.7 -157.50 1.93 3.51 5.69 4.85 0.60 20
137 20234.5 -183.50 3.53 3.04 7.86 4.43 0.57 20
140 20214.0 -362.00 1.07 0.00 0.00 0.70 2.60 21
140 20212.5 -277.00 6.21 4.08 6.86 7.55 0.29 20
141 20368.0 -316.00 0.53 0.03 1.18 0.62 0.05 21
107 20245.0 -568.00 0.48 0.58 5.83 5.42 0.57 21
133 20176.0 -163.00 5.01 2.38 16.76 5.31 1.02 20
134 20281.0 -235.00 1.06 0.29 2.67 1.39 4.06 20
136 20227.0 -157.00 1.96 1.35 2.06 1.11 0.18 20
137 20235.0 -183.00 4.03 2.53 7.37 4.75 0.64 20
139 20235.0 -305.00 1.73 1.32 3.62 2.61 0.27 21
